id|cat_name|cat_id|fb_id|name|latitude|longitude
1704638563100851|Attractions/Things to Do|2523|1704638563100851|Old Enchanted Balete Tree|9.1156|123.57331
965232760189331|Residence|192049437499122|965232760189331|Timbaon, San Juan, Siquijor|9.1212453842163|123.54621124268
886265104767785|Place to Eat/Drink|1578263382424714|886265104767785|Larena Triad Cafe  - Siquijor|9.25098438|123.59162601
103941912975280|Technical Institute|198890520141354|103941912975280|Siquijor State College|9.2494380113725|123.59026874647
644069515734702|Port|350040338394916|644069515734702|Siquijor Port|9.2167449094742|123.51308584213
139234916234086|Local Business|2500|139234916234086|Tubod San Juan, Siquijor|9.14109982|123.51335488
190300334453804|Day Care &amp; Preschool|164595956925901|190300334453804|Tan Bongco Learning Center|9.247960503233|123.59163400427
467186553357128|Residence|192049437499122|467186553357128|Replica Manor|9.213022|123.495301
656749101009271|Lodge|199611383389617|656749101009271|Sunporch Bed and Breakfast, Larena, Siquijor|9.2470127434283|123.59116763078
219398591503410|Local Business|2500|219398591503410|Dondeezco Beach Club and Resort - Siquijor Island|9.2142207420296|123.49433737427
337653836292342|Hotel|164243073639257|337653836292342|Royal Cliff Resort, Siquijor Island|9.1485742261117|123.50330669018
1434840940141110|School|365182493518892|1434840940141110|Quezon Memorial Institute of Siquijor|9.2143749861632|123.49762693048
543860175681533|Local Business|2500|543860175681533|Lalao, San Juan|9.1609782625|123.48970242875
349990858386630|Local Business|2500|349990858386630|Siquijor Municipal Hall|9.21398|123.51396
413913262075247|Residence|192049437499122|413913262075247|Walog|9.2486337992593|123.59284497444
352154664890615|Shopping &amp; Retail|200600219953504|352154664890615|Siquijor City|9.21564868|123.5138278
559845450743565|Restaurant|273819889375819|559845450743565|Salamangka Beach Resort, San Juan, Siquijor|9.1176365|123.54297974667
1677610639144988|Beach Resort|199734546726648|1677610639144988|Tori's Paradise|9.2147539234402|123.49456787109
120775094756741|Local Business|2500|120775094756741|Siquijor Island|9.1211994364943|123.5750836787
525945834120160|Park|115090141929327|525945834120160|Capilay's Spring Park -San Juan, Siquijor|9.21318176|123.51276596
200046950016106|Beach Resort|199734546726648|200046950016106|Coco Grove|9.14382421|123.5089876308
223537074412992|School|365182493518892|223537074412992|Tambisan National High School|9.16083|123.494
